trainer_id,trainer_name
05293,Ｃ．マン
05326,Ｔ．ヴォス
05441,Ｃ．アムレイン
01028,西園　正都
01026,鈴木　伸尋
01025,佐藤　正雄
01021,池添　兼雄
05106,真島　元徳
05035,大沢　勝宣
05287,井手上　慎一
05063,北川　亮
05020,荒居　貴美夫
05390,高橋　俊之
05070,手島　豊
01027,田村　康仁
05018,木村　昌志
05012,佐藤　和伸
05113,出川　克己
05121,桑田　孝雄
05047,大倉　護
01012,大江原　哲
01040,服部　利之
01032,大根田　裕之
01022,石坂　正
05039,Ｃ．バランドバルブ
05069,Ｇ．ラッグ
05080,Ｗ．Ｐ．ケーブ
05129,Ｋ．プレンダガスト
05194,Ｊ．ベリー
05297,Ｎ．ミード
05341,Ｊ．フーラハン
05026,佐藤　忠雄
05065,一倉　昌行
01038,手塚　貴久
01043,石栗　龍彦
05046,副島　義弘
05064,岡部　盛雄
05072,小林　文治
05025,谷口　常信
01055,藤原　英昭
05115,岩崎　幸紀
05071,森山　英雄
05033,菅原　右吉
05147,宮下　仁
05029,伊藤　和
05027,横山　孝四郎
01049,南井　克巳
01020,相沢　郁
05028,斉藤　辰三
05107,畠中　功
05120,高柳　恒男
05182,須田　明雄
05082,畠中　正孝
05032,梶原　軍造
05036,笹川　福光
05048,鷲見　昌勇
05052,浜田　勝三
05303,宮下　雅身
05050,内野　勉
00814,渋谷　武久
01035,佐藤　吉勝
01039,中竹　和也
05141,熊坂　光広
05131,井上　哲
01036,高橋　義博
05127,Ｌ．クマーニ
05130,Ｇ．ロジャーソン
05135,Ｃ．ヘッド
05134,Ｊ．ペタリーノ
05133,Ｗ．Ａ．ワード
05152,Ｄ．セルバラトナム
05156,Ｉ．アラン
05191,Ｍ．Ｒ．フロスタッド
05403,Ｍ．パイプ
01031,伊藤　伸一
01033,木原　一良
05024,北川　数男
05061,原　孝明
05217,佐々木　由則
01048,畠山　吉宏
05173,須藤　三千夫
05073,松原　正文
05088,桜田　勝男
05203,岡島　一馬
05058,山田　勇
05092,木村　甚太郎
05116,飯田　茂夫
05100,横山　稔
01052,菊川　正達
05451,千場　俊彦
05055,堂山　芳則
05161,佐々木　修一
05083,五十嵐　智
05062,桜田　浩三
05074,谷　力
01045,斎藤　宏
01054,戸田　博文
05318,高橋　三郎
05085,手島　健児
05087,伊藤　隆志
05075,人見　鉄也
01042,安達　昭夫
01046,鮫島　一歩
01034,坂本　勝美
05056,楠　克美
05081,佐藤　英一
05084,須藤　安栄
01059,加藤　征弘
01062,藤岡　健一
05263,瀬戸口　悟
05204,村上　頼章
05128,Ａ．ドゥロワイエデュプレ
05190,Ａ．シュッツ
05188,Ｍ．シャノン
05189,Ｈ．ブルーメ
05296,Ｊ．デラポルト
05295,Ｆ．ドゥーメン
05340,Ｍ．ウーレガン
05344,Ｊ．エリオット
05401,Ｂ．ミラー
05402,Ｐ．ニコラス
05093,米川　伸也
01053,角居　勝彦
05095,高岡　秀行
05148,山浦　武
05111,林　和弘
05151,加藤　光司
05122,樋口　富男
05274,今津　勝之
01047,勢司　和浩
05176,後藤　稔
05123,村上　昌幸
05105,田部　和則
05142,佐々木　恒
05108,桧森　邦夫
01051,岩戸　孝樹
01037,田原　成貴
05110,安田　寛
05159,柳沼　幸男
05118,太田　勝雄
05180,水野　善太
01050,飯田　雄三
05098,山下　定文
05099,津野　正浬
05154,石川　誠
05079,井上　孝彦
01044,昆　貢
05125,竹口　勝利
05168,鈴木　敬三
05163,中山　朝雄
05057,只野　広明
05096,中山　義宣
05089,小林　義明
05097,本村　光男
05112,小笠原　保
05049,八木　仁
05160,佐藤　茂
05281,塚田　隆男
05158,伊藤　靖則
05155,栗田　和昌
05184,大瀧　新次
05091,石本　義孝
05145,仲沢　道夫
05090,高橋　司
00921,青山　高司
05162,小林　伸義
05137,石川　栄
05171,柴田　高志
05150,金子　寅一
05153,村岡　洋
05138,桜田　新一郎
05119,鈴木　長一
05140,岩山　敬一
05208,岡林　光浩
05144,鈴木　誠
05136,井田　荘一郎
05186,小国　忍
05124,阿部　充知
00965,後藤　保
05126,函館　喜弘
05143,山本　敏男
01074,奥平　雅士
05360,浜田　一夫
05164,清水　日出男
05202,小原　典夫
05177,藤ヶ崎　一男
05407,赤嶺　本浩
05257,手島　勝利
05252,Ｍ．プレスコット
05254,Ｐ．シールゲン
05253,Ｍ．ジョンストン
05314,Ｔ．ウォン
05380,Ｎ．ドライスデール
05376,Ｎ．オキャラハン
05377,Ｂ．ヘッドリー
05399,Ｙ．フェルティエ
05537,Ｅ．マスグローヴ
05094,山中　静治
05102,横山　崇司
05245,斉藤　隆明
01056,本間　忍
05206,高田　勝良
05200,藤ヶ崎　一人
05315,佐藤　賢二
05109,古賀　光範
05235,金田　一昌
05193,山中　輝久
05178,伊藤　勝己
01057,湯窪　幸雄
05205,服部　道夫
05166,池田　優孝
05248,小野寺　三男
01070,堀　宣行
01066,岡田　稲男
05198,本田　忠夫
05197,鹿沼　良作
05247,鈴木　長次
05216,福田　秀夫
05259,幣旗　吉昭
05212,山本　功
05167,山下　清春
00943,野島　三喜雄
05213,阿部　秀一
05262,鈴木　春吉
05211,堀川　勝盛
05114,佐藤　利文
05209,瀬谷　保司
05346,荒巻　透
05201,伊藤　勝好
05256,横尾　末男
05196,市村　勲
05242,角田　輝也
05207,新井　次郎
01073,宮本　博
05225,矢ケ部　徹
05236,今井　孝一
05170,大沢　瀞司
05192,安部　弘一
05220,野島　豊
05269,原　定弘
05234,岡島　茂
05230,迫田　清美
05187,藤田　勝正
05261,小松沢　義江
05215,黒田　桂二
05210,野村　正直
01067,久保田　貴士
05199,佐藤　敏彦
05174,田中　美義
01063,的場　均
05302,内田　勝義
05224,曽和　直栄
05214,原口　次夫
00979,三坂　盛雄
05183,谷川　義明
05227,畑田　修治
05239,市川　安一
01061,友道　康夫
05260,富吉　誠次
01058,大久保　龍志
05325,Ａ．マーケス
05351,Ｄ．ローソン
05378,Ｒ．スアランド
05398,Ｇ．ルペイザン
05433,Ａ．クルーズ
05587,Ｐ．ネルソン
01072,河内　洋
05273,川島　和美
05181,鈴木　七郎
01060,小島　貞博
05221,工藤　栄一
05222,橋本　忠男
01064,武藤　善則
05291,西村　守幸
05246,金沢　豊
05268,溝橋　利喜夫
01068,小島　茂之
05229,佐々木　一夫
05223,幣旗　吉治
05271,渋谷　公男
00964,小嶋　一郎
05283,須永　和良
05298,小井土　金一
05347,寺嶋　正勝
05290,大野　照男
05157,及川　良春
05272,南　輝幸
05258,柳江　仁
05329,大橋　敬永
05301,村上　正和
05244,粟津　豊彦
05237,藤田　正治
05285,利国　雪城
05322,本名　信行
05282,青木　幸一
05321,保利　良次
05228,恵多谷　豊
05226,山下　信雄
05544,加藤　幸保
05300,松本　克幸
01077,加藤　和宏
05305,平山　良一
05218,津野　総夫
05240,上田　伸夫
05286,浜田　隆憲
05424,足立　勝久
05266,田中　道夫
05280,国光　徹
05307,西久保　政等
05232,国沢　利照
05270,竹下　直人
05492,遠藤　茂
05316,西川　精治
05284,太田　義広
05277,斉藤　裕
01071,池江　泰寿
05076,伊藤　強一
05231,鈴木　勝文
05275,八木　正喜
05276,浜口　正行
05306,河津　徳幸
05251,藤原　幸蔵
05267,松川　史朗
05249,田中　満
05264,利国　彦一
05241,赤間　松次
05250,細川　潔
05507,山本　健二
05059,大島　静夫
05243,橋本　茂喜
05324,藪田　孝男
05310,成田　清輔
05265,佐藤　正海
05255,市沢　初太郎
01086,斎藤　誠
05450,川田　孝好
05327,Ｍ．ボラックバデル
05379,Ａ．ヴェーラー
05405,Ｂ．カン
05434,Ｍ．ホーファー
05432,Ｄ．ヘンドリックス
05442,Ｄ．ヴィエナ
05471,Ｔ．マカヴォイ
05472,Ｇ．シアカ
05494,Ｇ．バーロウ
05493,Ｍ．トリンダー
05289,田中　範雄
05304,的場　信弘
05279,宮本　仁
05238,渡部　茂夫
05185,新山　広道
05117,伊藤　定幸
05357,植松　則幸
05311,角川　秀樹
05323,松野　勝己
01065,大橋　勇樹
05139,内村　寛司
05332,安池　成実
01069,中尾　秀正
01092,松永　幹夫
01075,矢作　芳人
05331,山崎　尋美
05219,佐藤　敏昭
05339,原　隆男
05366,福田　秀已
05349,村山　啓
05308,田嶋　弘幸
05317,謝　明方
05015,海馬沢　司
05477,平石　正己
05319,菅原　欣也
05359,上川　薫
05373,三潟　隆次
05355,渋谷　竹義
05342,今井　光三
05361,飯泉　之男
05348,松原　義夫
05368,桜井　今朝利
05335,高橋　敏男
05580,田中　守
05334,高田　豊治
05352,岡田　利一
05535,宮下　貴明
05337,内野　健二
05330,山元　紀男
05370,住吉　朝男
05328,渡辺　幸生
05312,志村　文雄
05350,森沢　憲一郎
05375,平石　勉
05086,斉藤　志孝
05338,日野　啓二
05356,金子　竜也
05549,服部　健一
05463,葛西　勝幸
01081,中川　公成
05383,柿本　政義
05345,丸山　務
05489,坂本　昇
05387,野田　学
01076,小笠　倫弘
05336,中村　憲和
05430,Ｂ．ヒルズ
05431,Ｌ．ダウリア
05444,Ｊ．オルテ
05473,Ｅ．リボー
05475,Ｄ．オニール
05513,Ｄ．オートン
05522,Ｌ．ドゥスルー
05538,Ｋ．マイヤーズ
05418,木村　進
05309,山口　益巳
05396,渡辺　和泰
05415,矢沼　浩二
01080,清水　英克
01079,古賀　慎明
05365,村上　実
01097,鹿戸　雄一
05371,手塚　佳彦
01082,平田　修
00830,広瀬　龍夫
01100,松山　将樹
01084,梅田　智之
01087,庄野　靖志
05385,加藤　英昭
05369,宗形　健次
05404,上田　二郎
05452,岩切　敏男
05389,橋本　和男
05364,柳沢　好美
05393,三橋　三吉
05388,佐々木　仁
05394,及川　肇
05358,新田　守
01083,松永　昌博
05382,吉井　一良
05169,佐藤　浩一
05384,大畠　弘
05397,竹地　正樹
05381,国沢　正利
01088,高木　登
05571,松浦　裕之
01078,北出　成人
05400,清水　正人
05391,鬼沢　裕充
05410,稲葉　道行
05367,鷹尾　俊策
05343,高砂　哲二
05363,古沢　清次
00923,渋谷　信隆
05409,前田　高明
05408,円田　修
05406,工藤　勉
05392,池田　孝
05372,渡部　寛修
05233,広森　久雄
05419,保利　照美
01094,水野　貴広
05464,Ｒｄ．コレ
05469,Ｄ．スマガ
05497,Ｊ．トタン
05500,Ｓ．シーマー
05514,Ｃ．ウォール
05515,Ｔ．イースタビー
05521,Ｇ．ケレウェイ
05539,Ｆ．コタン
05560,Ｇ．モーション
05577,Ｃ．ファウンズ
05581,Ｊ．ジャニアック
05395,中塚　猛
05436,林　正人
01108,矢野　英一
05503,上杉　昌宏
05440,佐藤　裕
01093,松永　康利
05663,別府　真司
01091,羽月　友彦
05288,鈴木　敏一
05428,竹田　正
05455,出川　博史
01101,吉田　直弘
05457,町野　良隆
05445,川勝　歩
05480,田口　輝彦
05354,浜村　恵
05422,山際　孝幸
05414,橋本　幸次郎
05425,宗綱　泰彦
05449,冨士木　秀四郎
05427,稻田　彰宏
05417,佐藤　雅彦
05429,出川　龍一
05101,山越　光
05458,飯島　雄治
01090,天間　昭一
01098,野中　賢二
05439,河津　裕昭
05443,中野　明
05435,碇　清次郎
05104,大友　茂
05448,角田　末男
05413,佐々木　勝彦
05446,藤本　昌行
05454,南　昭造
01089,武市　康男
05423,鈴木　正也
05421,室井　兼雄
05546,高岩　孝敏
05447,松代　真
05416,伊豆　嘉一
05437,坂井　光政
01085,小崎　憲
01095,荒川　義之
05468,Ｒ．ジョンソンホートン
05474,Ｗ．カリン
05505,Ｍ．ポランコ
05517,Ｆ．ロオー
05519,Ａ．ボールディング
05518,Ａ．オブライエン
05554,Ｊ．ギヴン
05576,Ｊ．ムーア
05582,Ｔ．ピット
05559,Ｅ．ダンロップ
05608,Ｄ．フォウト
05626,Ａ．パーセル
01105,須貝　尚介
01099,本田　優
05501,長島　康男
05476,鹿沼　良和
01106,牧　光二
05412,岩渕　良三
05490,安達　良美
05453,松本　隆宏
05481,瀬戸　幸一
05512,山田　和久
01096,粕谷　昌央
05499,戸田山　孝次
05486,今津　博之
05506,渡部　則夫
05462,小林　真治
05179,小笠原　義巳
01109,伊藤　大士
01107,村山　明
05488,柿本　政男
05502,田中　敏和
05479,藪田　辰己
05459,田村　光則
05484,村田　貴広
05491,阪本　泰之
05487,藤江　昭徳
05495,荒井　隆
05485,斉藤　尭
05496,佐々木　清明
05456,土井　道隆
05508,栗田　裕光
05467,田嶋　弘
05498,中村　健二
05511,清水　博昭
05470,黒田　隆男
05478,野田　忍
05482,茂崎　正善
05483,堀江　富雄
05466,山口　浩幸
05520,Ｒ．ギブソン
05561,Ｊ．ピース
05558,Ａ．リード
05583,Ｍ．ウォレス
05597,Ｇ．バトラー
05611,Ｊ．サイズ
05543,大久保　福治
